"NAICS codes","NAICS U.S. industry title","Size standards in millions of dollars","Size standards in number of employees"
812210,Funeral Homes and Funeral Services,$8.0,NULL
812220,Cemeteries and Crematories,$22.0,NULL
812310,Coin-Operated Laundries and Drycleaners,$8.0,NULL
812320,"Drycleaning and Laundry Services (except Coin-Operated)",$6.0,NULL
812331,Linen Supply,$35.0,NULL
812332,Industrial Launderers,$41.5,NULL
812910,Pet Care (except Veterinary) Services,$8.0,NULL
812921,"Photofinishing Laboratories (except One-Hour)",$22.0,NULL
812922,One-Hour Photofinishing,$16.5,NULL
812930,Parking Lots and Garages,$41.5,NULL
812990,All Other Personal Services,$8.0,NULL
813110,Religious Organizations,$8.0,NULL
813211,Grantmaking Foundations,$35.0,NULL
813212,Voluntary Health Organizations,$30.0,NULL
813219,Other Grantmaking and Giving Services,$41.5,NULL
813311,Human Rights Organizations,$30.0,NULL
813312,"Environment, Conservation and Wildlife Organizations",$16.5,NULL
813319,Other Social Advocacy Organizations,$8.0,NULL
813410,Civic and Social Organizations,$8.0,NULL
813910,Business Associations,$8.0,NULL
813920,Professional Organizations,$16.5,NULL
813930,"Labor Unions and Similar Labor Organizations",$8.0,NULL
813940,Political Organizations,$8.0,NULL
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",$8.0,NULL
